source,product_id,title,url,price_azn,old_price_azn,discount_azn,discount_percent,brand,specs,availability,label,monthly_payment_azn,rating,review_count
soliton.az,20250804033815532,ACER A325-53 I3-1305U/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033815532-acer-a325-53-i3-1305u-8-512.html,1099.0,,200.0,15%,9,,,,98.0,,
soliton.az,20250804033126516,LENOVO IP1 15IJL7 CEL-N4500/4/256,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033126516-lenovo-ip1-15ijl7-cel-n4500-4-256.html,569.0,,100.0,15%,40,,,,50.75,,
soliton.az,20250804024520125,LENOVO V15 G2 CEL-N4500/4/256,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804024520125-lenovo-v15-g2-cel-n4500-4-256.html,569.0,,100.0,15%,40,,,,50.75,,
soliton.az,20250804023658807,ASUS M1605Y-MB345 R7-7730U/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023658807-asus-m1605y-mb345-r7-7730u-8-512.html,1499.0,,260.0,15%,36,,,,133.67,,
soliton.az,20250804023129374,ASUS X1502VA-BQ530 I5-13420H/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023129374-asus-x1502va-bq530-i5-13420h-8-512.html,1359.0,,240.0,15%,36,,,,121.17,,
soliton.az,20250804022044730,ASUS X1504VA-BQ-151 I3-1315U/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804022044730-asus-x1504va-bq-151-i3-1315u-8-512.html,1039.0,,190.0,15%,36,,,,92.67,,
soliton.az,20250804020528545,ASUS X1404V-NK468 I3-1315U/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804020528545-asus-x1404v-nk468-i3-1315u-8-512.html,1019.0,,180.0,15%,36,,,,90.83,,
soliton.az,20250804014836805,HP 250 G10 I5-1334U/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804014836805-hp-250-g10-i5-1334u-8-512.html,1199.0,,240.0,17%,8,,,,106.92,,
soliton.az,20250804125144252,HP VICTUS 15-fa2013dx I5-13420H/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804125144252-hp-victus-15-fa2013dx-i5-13420h-8-512.html,2099.0,,400.0,16%,8,,,,187.17,,
soliton.az,20250804124613966,ACER NITRO ANV15-51-59RM I5-13420H/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804124613966-acer-nitro-anv15-51-59rm-i5-13420h-8-512.html,1999.0,,350.0,15%,9,,,,178.25,,
soliton.az,20250802124029900,LENOVO V15 G3 I7-1255U/16/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802124029900-lenovo-v15-g3-i7-1255u-16-512.html,1429.0,,180.0,11%,40,,,,127.42,,
soliton.az,20250802123113422,LENOVO IPS3 15IRH8 I5-13420H/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802123113422-lenovo-ips3-15irh8-i5-13420h-8-512.html,1299.0,,230.0,15%,40,,,,115.83,,
