product_id,title,url,price_azn,specs
46067,HP 15s-eq2083ur (4H2W0EA),https://qiymeti.net/notebook/hp-15s-eq2083ur-4h2w0ea/,1229.99,"15.6 inç ekran ölçüsü, AMD Ryzen 7 prosessor seriyası, 8 prosessorların sayı, 1.8 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
46520,Asus ROG Zephyrus G14 GA402RK-L8196W (90NR09U4-M00D70),https://qiymeti.net/notebook/asus-rog-zephyrus-g14-ga402rk-l8196w-90nr09u4-m00d70/,4099.99,"14.0 inç ekran ölçüsü, AMD Ryzen 7 prosessor seriyası, 8 prosessorların sayı, 3.2 GHz prosessor sürəti, 16 GB RAM, 1 TB SSD həcmi"
74511,Asus ROG Zephyrus G16 GU605CX-QR077W (90NR0M66-M00420),https://qiymeti.net/notebook/asus-rog-zephyrus-g16-gu605cx-qr077w-90nr0m66-m00420/,9649.99,"16.0 inç ekran ölçüsü, Intel Core Ultra 9 prosessor seriyası, 16 prosessorların sayı, 2.9 GHz prosessor sürəti, 64 GB RAM, 1 TB SSD həcmi"
51778,Hyundai HyBook 14.1 (HT14CCIC44EGP),https://qiymeti.net/notebook/hyundai-hybook-14-1-ht14ccic44egp/,509.0,"14.1 inç ekran ölçüsü, Intel Celeron prosessor seriyası, 2 prosessorların sayı, 1.1 GHz prosessor sürəti, 4 GB RAM, 128 GB SSD həcmi"
50284,Acer Aspire 5 A514-55-57G6 (NX.K5BER.001),https://qiymeti.net/notebook/acer-aspire-5-a514-55-57g6-nx-k5ber-001/,1399.0,"14.0 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 10 prosessorların sayı, 1.3 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
50304,Acer Aspire 3 A315-59G-7763 (NX.K6WER.009),https://qiymeti.net/notebook/acer-aspire-3-a315-59g-7763-nx-k6wer-009/,2099.0,"15.6 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 10 prosessorların sayı, 1.7 GHz prosessor sürəti, 16 GB RAM, 512 GB SSD həcmi"
50113,Lenovo IdeaPad 3 15ITL6 (82H802QSRK),https://qiymeti.net/notebook/lenovo-ideapad-3-15itl6-82h802qsrk/,1799.0,"15.6 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 4 prosessorların sayı, 2.8 GHz prosessor sürəti, 16 GB RAM, 512 GB SSD həcmi"
62819,Acer Nitro 5 ANV15-51-58UL (NH.QNDER.002),https://qiymeti.net/notebook/acer-nitro-5-anv15-51-nh-qnder-002/,1699.99,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 8 prosessorların sayı, 2.1 GHz prosessor sürəti, 16 GB RAM, 512 GB SSD həcmi"
40568,HP 250 G8 (2E9H4EA),https://qiymeti.net/notebook/hp-250-g8-2e9h4ea/,1239.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 4 prosessorların sayı, 1.0 GHz prosessor sürəti, 4 GB RAM, 256 GB SSD həcmi"
42798,Lenovo IdeaPad Gaming 3 15IMH05H (81Y4014XRK),https://qiymeti.net/notebook/lenovo-ideapad-gaming-3-15imh05h-81y4014xrk/,2993.0,"15.6 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 6 prosessorların sayı, 2.6 GHz prosessor sürəti, 16 GB RAM, 1 TB HDD həcmi, 128 GB SSD həcmi"
