product_id,title,url,price_azn,old_price_azn,discount_percent,is_new
797,Lenovo ideapad 330-15IGM (81D100DRRK-N),https://notecomp.az/noutbuklar/laptop-lenovo-ideapad-330-15igm-81d100drrk-n,543.0,,,False
796,Lenovo ideapad 330-15IGM (81D100QGRK-N),https://notecomp.az/noutbuklar/laptop-lenovo-ideapad-330-15igm-81d100qgrk-n,554.0,,,False
795,Lenovo ideapad 3 15IIL05 (81WE005XRK-N),https://notecomp.az/noutbuklar/laptop-lenovo-ip-3-15iil05-81we005xrk-n,959.0,,,False
794,Lenovo IP 3 14IIL05 (81WD0065RK),https://notecomp.az/noutbuklar/laptop-lenovo-ip-3-14iil05-81wd0065rk-n,1449.0,,,False
793,Lenovo Legion Y540-17IRH (81T3001RRK-N),https://notecomp.az/noutbuklar/laptop-lenovo-legion-y540-17irh-81t3001rrk-n,1969.0,,,False
792,Lenovo Legion Y540-15IRH (81SY00S2RK-N),https://notecomp.az/noutbuklar/laptop-lenovo-legion-y540-15irh-81sy00s2rk-n,2349.0,,,False
791,Lenovo Legion Y540-15IRH (81SX0139RK-N),https://notecomp.az/noutbuklar/laptop-lenovo-legion-y540-15irh-81sx0139rk-n,3169.0,,,False
790,Lenovo Legion Y540-15IRH (81SY008ARK-N),https://notecomp.az/noutbuklar/laptop-lenovo-legion-y540-15irh-81sy008ark-n,2309.0,,,False
789,Lenovo Legion Y540-15IRH (81SY005URK-N),https://notecomp.az/noutbuklar/laptop-lenovo-legion-y540-15irh-81sy005urk-n,1859.0,,,False
788,Lenovo L340-15IRH Gaming (81LK01H1RK-N),https://notecomp.az/noutbuklar/laptop-lenovo-l340-15irh-gaming-81lk01h1rk-n,1933.0,,,False
780,Noutbuk HP EliteBook 830 G6 (7KN47EA),https://notecomp.az/noutbuklar/noutbuk-hp-elitebook-830-g6-7kn47ea,2866.0,3100.0,-8 %,False
779,Noutbuk HP EliteBook 830 G6 (6XD74EA),https://notecomp.az/noutbuklar/noutbuk-hp-elitebook-830-g6-6xd74ea,2367.0,,,False
778,Noutbuk HP Elite Dragonfly Notebook PC Touch (8MK85EA),https://notecomp.az/noutbuklar/noutbuk-hp-elite-dragonfly-notebook-pc-touch-8mk85ea,4338.0,,,False
777,Noutbuk HP Elite Dragonfly Notebook PC Touch (8MK84EA),https://notecomp.az/noutbuklar/noutbuk-hp-elite-dragonfly-notebook-pc-touch-8mk84ea,4051.0,,,False
776,Noutbuk HP Elite Dragonfly Notebook PC Touch (8MK83EA),https://notecomp.az/noutbuklar/noutbuk-hp-elite-dragonfly-notebook-pc-touch-8mk83ea,3726.0,,,False
775,Noutbuk HP ProBook 430 G5 Notebook PC (2XY53ES),https://notecomp.az/noutbuklar/noutbuk-hp-probook-430-g5-notebook-pc-2xy53es,1645.0,,,False
774,Noutbuk HP ProBook 430 G5 Notebook PC (2SX95EA),https://notecomp.az/noutbuklar/noutbuk-hp-probook-430-g5-notebook-pc-2sx95ea,1450.0,,,False
773,Noutbuk HP ProBook 430 G5 Notebook PC (4QW08ES),https://notecomp.az/noutbuklar/noutbuk-hp-probook-430-g5-notebook-pc-4qw08es,1281.0,,,False
762,Noutbuk Acer Predator Helios 500 PH517-51-99PH (NH.Q3PER.006),https://notecomp.az/noutbuklar/noutbuk-acer-predator-helios-500-ph517-51-99ph-nh.q3per.006,7536.0,,,False
761,Noutbuk Acer Aspire 3 A315-55G-77TE (NX.HNSER.00V),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-3-a315-55g-77te-nx.hnser.00v,1499.0,,,False
760,Noutbuk Acer Aspire E5-576G-71CY (NX.GVBER.043),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-e5-576g-71cy-nx.gvber.043,1299.0,,,False
759,Noutbuk Acer Aspire 3 A315-55G-51RB (NX.HNSER.00R),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-3-a315-55g-51rb-nx.hnser.00r,1156.0,,,False
758,Noutbuk Acer Aspire A315-55G-575W (NX.HEDER.027),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-a315-55g-575w-nx.heder.027,1091.0,,,False
757,Noutbuk Acer Aspire A315-55G-51P (NX.HEDER.036),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-a315-55g-51p-nx.heder.036,1029.0,,,False
756,Noutbuk Acer Aspire 3 A315-54K-566T (NX.HEEER.01Q),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-3-a315-54k-566t-nx.heeer.01q,884.0,,,False
755,Noutbuk Acer Aspire 3 A315-56-35AR (NX.HS5ER.004),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-3-a315-56-35ar-nx.hs5er.004,855.0,,,False
754,Noutbuk Acer Aspire A315-55KG-32NA (NX.HEHER.004),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-a315-55kg-32na-nx.heher.004,979.0,,,False
753,Noutbuk Acer Aspire A315-54K-37AV (NX.HEEER.019),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-a315-54k-37av-nx.heeer.019,717.0,,,False
752,Noutbuk Acer Aspire 3 A315-34-C1JW (NX.HE3ER.00B),https://notecomp.az/noutbuklar/noutbuk-acer-aspire-3-a315-34-c1jw-nx.he3er.00b,585.0,,,False
751,Noutbuk Acer Swift 5 SF514-53T Touch (NX.H7HER.003),https://notecomp.az/noutbuklar/noutbuk-acer-swift-5-sf514-53t-touch-nx.h7her.003,2657.0,,,False
750,Noutbuk Acer Swift 5 SF514-53T Touch (NX.H7KER.004),https://notecomp.az/noutbuklar/noutbuk-acer-swift-5-sf514-53t-touch-nx.h7ker.004,2548.0,,,False
