product_id,title,url,price_azn,label
2949,Noutbuk Lenovo IdeaPad 5 2-in-1 14IRH9 (83KX006XRK),https://brothers.az/product_read/2949/noutbuk-lenovo-ideapad-5-2-in-1-14irh9-83kx006xrk,1399.0,
1670,Noutbuk HP 470 G9 (6S7D5EA),https://brothers.az/product_read/1670/noutbuk-hp-470-g9-6s7d5ea,2170.0,
1926,Noutbook HP 250 G10 (8A5D4EA),https://brothers.az/product_read/1926/noutbook-hp-250-g10-8a5d4ea,1219.0,
2182,Noutbuk HP ProBook 440 G10 (85D63EA),https://brothers.az/product_read/2182/noutbuk-hp-probook-440-g10-85d63ea,1460.0,
2438,Noutbuk HP Envy x360 15-fe1082wm (9R1K0UA),https://brothers.az/product_read/2438/noutbuk-hp-envy-x360-15-fe1082wm-9r1k0ua,1859.0,
2694,Noutbuk HP 15-fd0119ci (A2LR3EA),https://brothers.az/product_read/2694/noutbuk-hp-15-fd0119ci-a2lr3ea,1299.0,
2950,Noutbuk Lenovo YOGA Pro 7 14IAH10 (83KF002LRK),https://brothers.az/product_read/2950/noutbuk-lenovo-yoga-pro-7-14iah10-83kf002lrk,3199.0,
2183,Noutbuk HP Pavilion 15-eg 3016ci (7P501EA),https://brothers.az/product_read/2183/noutbuk-hp-pavilion-15-eg-3016ci-7p501ea,1440.0,
2439,Noutbuk ASUS ZenBook 14 OLED Q425MA-U71TB (90NB11R7-M00JY0),https://brothers.az/product_read/2439/noutbuk-asus-zenbook-14-oled-q425ma-u71tb-90nb11r7-m00jy0,2029.0,
2695,Noutbuk HP 250 G10 (9Y716AT),https://brothers.az/product_read/2695/noutbuk-hp-250-g10-9y716at,1299.0,
2951,Noutbuk Lenovo IdeaPad 5 2-in-1 14IRH9 (83KX006VRK),https://brothers.az/product_read/2951/noutbuk-lenovo-ideapad-5-2-in-1-14irh9-83kx006vrk,1872.0,
1672,Noutbuk EliteBook 630 G9 (5Y3U3EA),https://brothers.az/product_read/1672/noutbuk-elitebook-630-g9-5y3u3ea,1679.0,
2184,Noutbuk Asus ROG Strix G614JZ-N4011 (90NR0CZ1-M001P0),https://brothers.az/product_read/2184/noutbuk-asus-rog-strix-g614jz-n4011-90nr0cz1-m001p0,5399.0,
2440,Noutbuk ASUS ZenBook 14 OLED Q415MA-U5512 (90NB11R7-M00H00),https://brothers.az/product_read/2440/noutbuk-asus-zenbook-14-oled-q415ma-u5512-90nb11r7-m00h00,1479.0,
2696,Noutbuk HP 250 G10 (AK9P9AT),https://brothers.az/product_read/2696/noutbuk-hp-250-g10-ak9p9at,1299.0,
2952,Noutbuk Asus ZenBook S 16 OLED UM5606GA-SS062W (90NB17H5-M006E0),https://brothers.az/product_read/2952/noutbuk-asus-zenbook-s-16-oled-um5606ga-ss062w-90nb17h5-m006e0,3299.0,
1161,Noutbuk HP 15s-eq1287ur (300D8EA),https://brothers.az/product_read/1161/noutbuk-hp-15s-eq1287ur-300d8ea,919.0,
1673,Noutbuk ASUS  Vivobook X1502ZA-BQ315 (90NB0VX2-M00C90),https://brothers.az/product_read/1673/noutbuk-asus-vivobook-x1502za-bq315-90nb0vx2-m00c90,1769.0,
2185,Noutbuk Asus ROG Strix G614JI-N4181 (90NR0D41-M00V20),https://brothers.az/product_read/2185/noutbuk-asus-rog-strix-g614ji-n4181-90nr0d41-m00v20,4120.0,
2697,Noutbuk HP 15-fc0020ci (7P4F8EA),https://brothers.az/product_read/2697/noutbuk-hp-15-fc0020ci-7p4f8ea,1359.0,
2953,Noutbuk Asus ZenBook S 16 OLED UM5606GA-SS022W (90NB17H2-M006F0),https://brothers.az/product_read/2953/noutbuk-asus-zenbook-s-16-oled-um5606ga-ss022w-90nb17h2-m006f0,3299.0,
1162,Noutbuk HP EliteBook 850 G8 (401F0EA),https://brothers.az/product_read/1162/noutbuk-hp-elitebook-850-g8-401f0ea,2799.0,
1930,Noutbuk ASUS TUF Gaming A17 FA707XV-LL032 (90NR0E96-M001U0),https://brothers.az/product_read/1930/noutbuk-asus-tuf-gaming-a17-fa707xv-ll032-90nr0e96-m001u0,3279.0,
2186,Noutbuk Asus Tuf Gaming FX507VV4-LP111 (90NR0BV8-M00730),https://brothers.az/product_read/2186/noutbuk-asus-tuf-gaming-fx507vv4-lp111-90nr0bv8-m00730,2949.0,
2442,Noutbuk ASUS VivoBook Go 15 E1504GA-WS36 (90NB0ZT2-M00ZZ0),https://brothers.az/product_read/2442/noutbuk-asus-vivobook-go-15-e1504ga-ws36-90nb0zt2-m00zz0,819.0,
2698,Noutbuk HP 15-fc0019ci (7P509EA),https://brothers.az/product_read/2698/noutbuk-hp-15-fc0019ci-7p509ea,1359.0,
1163,Noutbuk ASUS M3401QA-KM015 OLED (90NB0VZ2-M00860),https://brothers.az/product_read/1163/noutbuk-asus-m3401qa-km015-oled-90nb0vz2-m00860,1879.0,
1931,Noutbuk Asus ROG Strix Scar 17 G733PYV-LL045 (90NR0DB4-M00470),https://brothers.az/product_read/1931/noutbuk-asus-rog-strix-scar-17-g733pyv-ll045-90nr0db4-m00470,6989.0,
2187,Noutbuk Asus ExpertBook B2 B2502CVA-BQ0178 (90NX06F1-M00670),https://brothers.az/product_read/2187/noutbuk-asus-expertbook-b2-b2502cva-bq0178-90nx06f1-m00670,1920.0,
2443,Noutbuk ASUS Vivobook S15 OLED S5506MA (90NB14E2-M00840),https://brothers.az/product_read/2443/noutbuk-asus-vivobook-s15-oled-s5506ma-90nb14e2-m00840,1979.0,
2699,Noutbuk HP 255 G10 (AD0Z6ET),https://brothers.az/product_read/2699/noutbuk-hp-255-g10-ad0z6et,1369.0,
2444,Noutbuk ASUS Zenbook UX3405MA-QD437 (90NB11R1-M010B0),https://brothers.az/product_read/2444/noutbuk-asus-zenbook-ux3405ma-qd437-90nb11r1-m010b0,1999.0,
2700,Noutbuk HP 15-fd0118ci (A2LR2EA),https://brothers.az/product_read/2700/noutbuk-hp-15-fd0118ci-a2lr2ea,1369.0,
2445,Noutbuk Vuctus Gaming 16-R1065ci (A1WE5EA),https://brothers.az/product_read/2445/noutbuk-vuctus-gaming-16-r1065ci-a1we5ea,2279.0,
2701,Noutbuk HP 240R G9 (A37W9ET),https://brothers.az/product_read/2701/noutbuk-hp-240r-g9-a37w9et,1380.0,
1678,Noutbuk HP ProBook 440 G9 (6A1S8EA),https://brothers.az/product_read/1678/noutbuk-hp-probook-440-g9-6a1s8ea,1359.0,
1934,Noutbuk ASUS VivoBook X1404VA-EB182 (90NB10I1-M006S0),https://brothers.az/product_read/1934/noutbuk-asus-vivobook-x1404va-eb182-90nb10i1-m006s0,969.0,
2190,Noutbuk HP 240 G10 (8A5M8EA),https://brothers.az/product_read/2190/noutbuk-hp-240-g10-8a5m8ea,1260.0,
2446,Noutbuk ASUS VivoBook S K5504VA-MA131W (90NB0ZK3-M00KF0),https://brothers.az/product_read/2446/noutbuk-asus-vivobook-s-k5504va-ma131w-90nb0zk3-m00kf0,1880.0,
2702,Noutbuk HP ZBook Studio 16 G11 (8S9R4EA),https://brothers.az/product_read/2702/noutbuk-hp-zbook-studio-16-g11-8s9r4ea,4199.0,
1679,Noutbuk HP 240 G9 (6S6U1EA),https://brothers.az/product_read/1679/noutbuk-hp-240-g9-6s6u1ea,1159.0,
1935,Noutbuk ASUS Vivobook 16 M1605YA (90NB10R2-M00B30),https://brothers.az/product_read/1935/noutbuk-asus-vivobook-16-m1605ya-90nb10r2-m00b30,1119.0,
2191,Noutbuk HP 14-ep0005ci (7Y2A2EA),https://brothers.az/product_read/2191/noutbuk-hp-14-ep0005ci-7y2a2ea,1319.0,
2447,Noutbuk Asus Vivobook S S5507QA-MA006W (90NB14Q2-M005E0),https://brothers.az/product_read/2447/noutbuk-asus-vivobook-s-s5507qa-ma006w-90nb14q2-m005e0,2871.0,
2703,Noutbuk HP ZBook Studio 16 G11 (8S9S9EA),https://brothers.az/product_read/2703/noutbuk-hp-zbook-studio-16-g11-8s9s9ea,0.0,
1680,Desktop HP Pro SFF 290 G9 (6B2N4EA),https://brothers.az/product_read/1680/desktop-hp-pro-sff-290-g9-6b2n4ea,1129.0,
1936,Noutbuk ASUS Vivobook 16 M1605YA (90NB10R1-M00AM0),https://brothers.az/product_read/1936/noutbuk-asus-vivobook-16-m1605ya-90nb10r1-m00am0,1119.0,
2448,Noutbuk HP 250 G10 (9B9F3EA),https://brothers.az/product_read/2448/noutbuk-hp-250-g10-9b9f3ea,1230.0,
2704,Noutbuk HP ZBook Studio 16 G11 (8S9S8EA),https://brothers.az/product_read/2704/noutbuk-hp-zbook-studio-16-g11-8s9s8ea,3999.0,
913,Asus X409FA-BV653 (90NB0WWS1-M10050),https://brothers.az/product_read/913/asus-x409fa-bv653-90nb0wws1-m10050,1533.0,
1937,Noutbuk Asus Vivobook S16 Flip TN3604YA-MC064W (90NB1041-M002K0),https://brothers.az/product_read/1937/noutbuk-asus-vivobook-s16-flip-tn3604ya-mc064w-90nb1041-m002k0,1760.0,
2193,Noutbuk HP Pavilion 15-eg3018ci (7P433EA),https://brothers.az/product_read/2193/noutbuk-hp-pavilion-15-eg3018ci-7p433ea,1429.0,
2449,Noutbuk HP 14-fd0121ci (A2LR5EA),https://brothers.az/product_read/2449/noutbuk-hp-14-fd0121ci-a2lr5ea,1285.0,
2705,Noutbuk HP ZBook Studio 16 G11 (62X97EA),https://brothers.az/product_read/2705/noutbuk-hp-zbook-studio-16-g11-62x97ea,3969.0,
914,OMEN HP Gaming Laptop 15-ek0002ur (104K9EA),https://brothers.az/product_read/914/omen-hp-gaming-laptop-15-ek0002ur-104k9ea,2389.0,
2194,Noutbuk HP ProBook 450 G10 (8A5A6EA),https://brothers.az/product_read/2194/noutbuk-hp-probook-450-g10-8a5a6ea,1425.0,
2450,Noutbuk HP EliteBook 650 G10 (8A576EA),https://brothers.az/product_read/2450/noutbuk-hp-elitebook-650-g10-8a576ea,2270.0,
2706,Noutbuk HP Elite x360 1040 G11 (A36X9ET),https://brothers.az/product_read/2706/noutbuk-hp-elite-x360-1040-g11-a36x9et,3999.0,
915,OMEN HP Gaming Laptop 15-ek0032ur (2P1P3EA),https://brothers.az/product_read/915/omen-hp-gaming-laptop-15-ek0032ur-2p1p3ea,2560.0,
1939,Noutbuk Asus Vivobook X1504VA-BQ286 (90NB10J2-M00BT0),https://brothers.az/product_read/1939/noutbuk-asus-vivobook-x1504va-bq286-90nb10j2-m00bt0,1249.0,
2195,Noutbuk HP Pavilion 15-Eg3017ci (7P4L9EA),https://brothers.az/product_read/2195/noutbuk-hp-pavilion-15-eg3017ci-7p4l9ea,1440.0,
2451,Noutbuk HP ProBook 460 G11 (A23C9EA),https://brothers.az/product_read/2451/noutbuk-hp-probook-460-g11-a23c9ea,1919.0,
2707,Noutbuk HP OmniBook Ultra Flip 14-fh0008ci (B5JQ8EA),https://brothers.az/product_read/2707/noutbuk-hp-omnibook-ultra-flip-14-fh0008ci-b5jq8ea,3699.0,
1684,Noutbuk Asus Vivobook M6500QC-L1088 (90NB0YN1-M004R0),https://brothers.az/product_read/1684/noutbuk-asus-vivobook-m6500qc-l1088-90nb0yn1-m004r0,2039.0,
1940,Noutbuk Asus Vivobook X1504VA-BQ287 (90NB10J2-M00BU0),https://brothers.az/product_read/1940/noutbuk-asus-vivobook-x1504va-bq287-90nb10j2-m00bu0,1320.0,
2452,Noutbuk НР 15-fd0103ci (9S7Q2EA),https://brothers.az/product_read/2452/noutbuk-nr-15-fd0103ci-9s7q2ea,1389.0,
2708,Noutbuk HP OmniBook Ultra Flip 14-fh0009ci (B5JQ9EA),https://brothers.az/product_read/2708/noutbuk-hp-omnibook-ultra-flip-14-fh0009ci-b5jq9ea,3699.0,
2709,Noutbuk HP ZBook FireFly 16 G11 (8T0L8EA),https://brothers.az/product_read/2709/noutbuk-hp-zbook-firefly-16-g11-8t0l8ea,2999.0,
2965,Noubtbuk Lenovo V14 G5 IRL (83GU0086FW),https://brothers.az/product_read/2965/noubtbuk-lenovo-v14-g5-irl-83gu0086fw,1499.0,
1942,Noutbook HP 250 G10 (725C4EA),https://brothers.az/product_read/1942/noutbook-hp-250-g10-725c4ea,999.0,
2454,Noutbuk HP ProBook 440 G10 (A38G6ET),https://brothers.az/product_read/2454/noutbuk-hp-probook-440-g10-a38g6et,1939.0,
2710,Noutbuk HP ZBook Firefly 16 G11 (8T0K7EA),https://brothers.az/product_read/2710/noutbuk-hp-zbook-firefly-16-g11-8t0k7ea,2999.0,
2966,Noutbuk Lenovo V15 G4 AMN (82YU0173RK),https://brothers.az/product_read/2966/noutbuk-lenovo-v15-g4-amn-82yu0173rk,999.0,
1943,Noutbook HP 250 G10 (8A5D5EA),https://brothers.az/product_read/1943/noutbook-hp-250-g10-8a5d5ea,1329.0,
2711,Noutbuk HP EliteBook 660 G11 (9Y7D6ET),https://brothers.az/product_read/2711/noutbuk-hp-elitebook-660-g11-9y7d6et,3139.0,
2967,Noutbuk Lenovo IdeaPad Slim 3 15AMN8 (82XQ00JPRK),https://brothers.az/product_read/2967/noutbuk-lenovo-ideapad-slim-3-15amn8-82xq00jprk,999.0,
1944,Noutbuk HP EliteBook 630 G10 (816M3EA),https://brothers.az/product_read/1944/noutbuk-hp-elitebook-630-g10-816m3ea,1639.0,
2712,Noutbuk HP EliteBook 660 G11 (A37W0ET),https://brothers.az/product_read/2712/noutbuk-hp-elitebook-660-g11-a37w0et,3165.0,
2968,Noutbuk Asus Zenbook UX3407QA-QD409W (90NB1501-M00RM0),https://brothers.az/product_read/2968/noutbuk-asus-zenbook-ux3407qa-qd409w-90nb1501-m00rm0,2399.0,
1945,Noutbuk HP Pavilion 15-eg3005ci (7P4D8EA),https://brothers.az/product_read/1945/noutbuk-hp-pavilion-15-eg3005ci-7p4d8ea,1849.0,
2201,Noutbuk ASUS Zenbook 14 OLED UM3406HA-QD015W (90NB1271-M003F0),https://brothers.az/product_read/2201/noutbuk-asus-zenbook-14-oled-um3406ha-qd015w-90nb1271-m003f0,2150.0,
2713,Noutbuk HP EliteBook 660 G11 (9Y7D5ET),https://brothers.az/product_read/2713/noutbuk-hp-elitebook-660-g11-9y7d5et,2699.0,
2969,Noutbuk Lenovo YOGA Slim 7 14AKP10 (83JY007URK),https://brothers.az/product_read/2969/noutbuk-lenovo-yoga-slim-7-14akp10-83jy007urk,2399.0,
1690,Noutbuk HP EliteBook 650 G9 (5Y3T9EA),https://brothers.az/product_read/1690/noutbuk-hp-elitebook-650-g9-5y3t9ea,1719.0,
1946,Noutbuk НР Victus Gaming 15-fa1012ci (7P506EA),https://brothers.az/product_read/1946/noutbuk-nr-victus-gaming-15-fa1012ci-7p506ea,2429.0,
2714,Noutbuk HP OmniBook X Flip 14-fh0009ci (BZ2W9EA),https://brothers.az/product_read/2714/noutbuk-hp-omnibook-x-flip-14-fh0009ci-bz2w9ea,2899.0,
2970,Noutbuk Asus VivoBook 15 X1504VA-BQ4479 (90NB10J1-M04A20),https://brothers.az/product_read/2970/noutbuk-asus-vivobook-15-x1504va-bq4479-90nb10j1-m04a20,1399.0,
1947,Noutbuk HP Spectr x360 14-ef2002ci (827M9EA),https://brothers.az/product_read/1947/noutbuk-hp-spectr-x360-14-ef2002ci-827m9ea,3349.0,
2715,Noutbuk HP ProBook 460 G 11 (A23BYEA),https://brothers.az/product_read/2715/noutbuk-hp-probook-460-g-11-a23byea,2699.0,
2971,Noutbuk Asus VivoBook 15 X1504VA-BQ140 (90NB10J1-M04U10),https://brothers.az/product_read/2971/noutbuk-asus-vivobook-15-x1504va-bq140-90nb10j1-m04u10,1499.0,
668,HP ProBook 450 G7 (9HR10EA),https://brothers.az/product_read/668/HP-ProBook-450-G7-(9HR10EA),1769.0,
1948,Noutbuk HP Spectr X360 16-F2005ci (7P4P5EA),https://brothers.az/product_read/1948/noutbuk-hp-spectr-x360-16-f2005ci-7p4p5ea,3499.0,
2460,HP 15-bs095nia,https://brothers.az/product_read/2460/hp-15-bs095nia,300.0,
2716,Noutbuk ASUS Vivobook Go E1504FA-BQ1185 (90NB0ZR1-M023B0),https://brothers.az/product_read/2716/noutbuk-asus-vivobook-go-e1504fa-bq1185-90nb0zr1-m023b0,989.0,
2972,Noutbuk Asus VivoBook 18 M1807GA-S8007 (90NB17Y1-M000K0),https://brothers.az/product_read/2972/noutbuk-asus-vivobook-18-m1807ga-s8007-90nb17y1-m000k0,2099.0,
669,HP ProBook 450 G7 (10R63EA),https://brothers.az/product_read/669/HP-ProBook-450-G7-(10R63EA),1848.0,
925,HP Spectre x360 Conv 13-aw2014ur (2W2C0EA),https://brothers.az/product_read/925/hp-spectre-x360-conv-13-aw2014ur-2w2c0ea,2779.0,
1949,Noutbuk HP ENVY 16-h0000ci (6Y9S5EA),https://brothers.az/product_read/1949/noutbuk-hp-envy-16-h0000ci-6y9s5ea,2999.0,
2461,HP 15-n078er,https://brothers.az/product_read/2461/hp-15-n078er,330.0,
2717,Noutbuk ASUS Vivobook Go E1504FA-BQ1186 (90NB0ZR1-M023C0),https://brothers.az/product_read/2717/noutbuk-asus-vivobook-go-e1504fa-bq1186-90nb0zr1-m023c0,989.0,
2973,Noutbuk Lenovo ThinkBook 16 G8 IAL (21SK007VRT),https://brothers.az/product_read/2973/noutbuk-lenovo-thinkbook-16-g8-ial-21sk007vrt,1699.0,
670,HP Laptop 15-db0484ur (153K8EA),https://brothers.az/product_read/670/HP-Laptop-15-db0484ur-(153K8EA),555.0,
926,Noutbuk HP Spectre x360 Conv 13-aw2013ur (2S7M7EA),https://brothers.az/product_read/926/noutbuk-hp-spectre-x360-conv-13-aw2013ur-2s7m7ea,2730.0,
1694,Noutbuk ASUS Zenbook 14 Flip OLED UP3404VA-KN026W (90NB10E2-M002A0),https://brothers.az/product_read/1694/noutbuk-asus-zenbook-14-flip-oled-up3404va-kn026w-90nb10e2-m002a0,2999.0,
1950,Noutbuk HP Victus Gaming 16-s0019ci (914S7EA),https://brothers.az/product_read/1950/noutbuk-hp-victus-gaming-16-s0019ci-914s7ea,2569.0,
2206,Noutbuk Lenovo ThinkPad T16 G2 (21HH004BRT),https://brothers.az/product_read/2206/noutbuk-lenovo-thinkpad-t16-g2-21hh004brt,3499.0,
2718,Noutbuk ASUS Vivobook Go E1504FA-BQ1086 (90NB0ZR2-M01XE0),https://brothers.az/product_read/2718/noutbuk-asus-vivobook-go-e1504fa-bq1086-90nb0zr2-m01xe0,989.0,
2974,Noutbuk Asus ExpertBook P1 P1503CVA-S72252 (90NX0881-M02W50),https://brothers.az/product_read/2974/noutbuk-asus-expertbook-p1-p1503cva-s72252-90nx0881-m02w50,1369.0,
671,HP OMEN 15-dc1046ur (7GL81EA),https://brothers.az/product_read/671/HP-OMEN-15-dc1046ur-(7GL81EA),2675.0,
927,Noutbuk Lenovo Ideapad 130-15IKB (81H7001RAK),https://brothers.az/product_read/927/noutbuk-lenovo-ideapad-130-15ikb-81h7001rak,499.0,
2207,Noutbuk Lenovo ThinkPad T16 G2 (21HH002JRT),https://brothers.az/product_read/2207/noutbuk-lenovo-thinkpad-t16-g2-21hh002jrt,3359.0,
2463,Noutbuk ASUS ExpertBook B3 B3604CVA-Q90139 (90NX07B1-M004S0),https://brothers.az/product_read/2463/noutbuk-asus-expertbook-b3-b3604cva-q90139-90nx07b1-m004s0,1670.0,
2719,Noutbuk ASUS Vivobook Go E1504FA-BQ1906 (90NB0ZR2-M03350),https://brothers.az/product_read/2719/noutbuk-asus-vivobook-go-e1504fa-bq1906-90nb0zr2-m03350,989.0,
672,ASUS VivoBook 14 M413DA-EK155 (90NB0R77-M02510),https://brothers.az/product_read/672/ASUS-VivoBook-14-M413DA-EK155-(90NB0R77-M02510),693.0,
928,Noutbuk HP ENVY x360 15-eu0004ur (4E0U0EA),https://brothers.az/product_read/928/noutbuk-hp-envy-x360-15-eu0004ur-4e0u0ea,2119.0,
1696,Noutbuk ASUS VivoBook Pro 15 OLED K6502ZC-MA102 (90NB0Z61-M006T0),https://brothers.az/product_read/1696/noutbuk-asus-vivobook-pro-15-oled-k6502zc-ma102-90nb0z61-m006t0,2599.0,
1952,Noutbuk Asus TUF Gaming FX507ZV4-LP047 (90NR0FA7-M005K0),https://brothers.az/product_read/1952/noutbuk-asus-tuf-gaming-fx507zv4-lp047-90nr0fa7-m005k0,2819.0,
2208,Noutbuk Lenovo ThinkPad T16 (21HJS4DL00),https://brothers.az/product_read/2208/noutbuk-lenovo-thinkpad-t16-21hjs4dl00,3110.0,
2464,Noutbuk ASUS Vivobook S 14 OLED S5406SA-QD100 (90NB15R3-M00BP0),https://brothers.az/product_read/2464/noutbuk-asus-vivobook-s-14-oled-s5406sa-qd100-90nb15r3-m00bp0,2355.0,
2720,Noutbuk ASUS Vivobook Go E1504FA-BQ2460 (90NB0ZR2-M042F0),https://brothers.az/product_read/2720/noutbuk-asus-vivobook-go-e1504fa-bq2460-90nb0zr2-m042f0,989.0,
2976,Noutbuk Asus TUF Gaming F16 FX608JHR-RV035  (90NR0NA1-M003C0),https://brothers.az/product_read/2976/noutbuk-asus-tuf-gaming-f16-fx608jhr-rv035-90nr0na1-m003c0,2599.0,
673,ASUS VivoBook 14 M413DA-EK154 (90NB0R77-M02500),https://brothers.az/product_read/673/asus-vivobook-14-m413da-ek154-90nb0r77-m02500,867.0,
