product_id,title,url,price_azn,old_price_azn,discount_azn,specs
13901,Asus ROG Strix G16 G615JHR-DS74 (90NR0LL1-M000R0) Gaming Notebook,https://icomp.az/asus-rog-strix-g16-g615jhr-ds74-90nr0ll1-m000r0-gaming-notebook.html,2799.0,3177.0,378.0,"i7-14650HX | 16GB DDR5 | 1TB SSD | RTX5050 8GB | 16"" WUXGA 165Hz | Windows 11"
13900,Asus TUF Gaming F16 FX608LM-BS96 (90NR0KJ1-M00020) Gaming Notebook,https://icomp.az/asus-tuf-gaming-f16-fx608lm-bs96-90nr0kj1-m00020-gaming-notebook.html,3399.0,3858.0,459.0,"Ultra 9 275HX | 32GB DDR5 | 1TB SSD | RTX5060 8GB | 16"" WQXGA 165Hz | Windows 11"
13839,Asus ROG Strix G18 G815JPR-S9056 (90NR0LM1-M002T0) Gaming Notebook,https://icomp.az/asus-rog-strix-g18-g815jpr-s9056-90nr0lm1-m002t0-gaming-notebook.html,4199.0,4766.0,567.0,"i9-14900HX | 32GB DDR5 | 1 TB SSD | RTX 5070 8GB | 18"" WQXGA IPS 240Hz | Windows 11 PRO"
13838,Asus ROG Strix G18 G814PH-S8023 (90NR0L38-M000Z0) Gaming Notebook,https://icomp.az/asus-rog-strix-g18-g814ph-s8023-90nr0l38-m000z0-gaming-notebook.html,2999.0,3404.0,405.0,"Ryzen 9 8940HX | 16GB DDR5 | 1TB SSD | RTX 5050 8GB | 18"" WUXGA IPS 144Hz | Windows 11 PRO"
13837,Lenovo IdeaPad Slim 3 16IRH10 (83K2000WRK) Notebook,https://icomp.az/lenovo-ideapad-slim-3-16irh10-83k2000wrk-notebook.html,1099.0,1248.0,149.0,"i5-13420H | 16GB DDR5 | 512GB SSD | Intel UHD Graphics | 16"" WUXGA IPS | Windows 11 PRO"
13836,Lenovo Legion Pro 7 16IAX10 (83KY0003US) Gaming Notebook,https://icomp.az/lenovo-legion-pro-7-16iax10-83ky0003us-gaming-notebook.html,3999.0,4539.0,540.0,"Ultra 9 275HX | 32GB DDR5 | 1 TB SSD | RTX 5070 8GB | 16"" WQXGA OLED 240Hz | Windows 11 Home"
13835,MSI Crosshair 18 HX AI A2XWGKG-012US (9S7-184111-012) Gaming Notebook,https://icomp.az/msi-crosshair-18-hx-ai-a2xwgkg-012us-9s7-184111-012-gaming-notebook.html,3699.0,4199.0,500.0,"Ultra 9 275HX | 32GB DDR5 | 1TB SSD | RTX 5070 8GB | 18"" WQXGA IPS 240Hz | Windows 11"
13831,Asus VivoBook 15 X1504VA-BQ590 (90NB13Y1-M00X70) Notebook,https://icomp.az/asus-vivobook-15-x1504va-bq590-90nb13y1-m00x70-notebook.html,1249.0,1418.0,169.0,Core™ 5 120U | 16GB DDR4 | 512GB SSD | Intel Graphics | 15.6 FHD IPS | FreeDOS
13830,Lenovo IdeaPad Slim 3 15IRH10 (83K10032RK) Notebook,https://icomp.az/lenovo-ideapad-slim-3-15irh10-83k10032rk-notebook.html,1299.0,1475.0,176.0,"i7-13620H | 16GB DDR5 | 512GB SSD | Intel UHD Graphics | 15.3"" WUXGA IPS | FreeDOS"
13826,Lenovo LOQ 17IRX10 (83JH000JUS) Gaming Notebook,https://icomp.az/lenovo-loq-17irx10-83jh000jus-gaming-notebook.html,2199.0,2496.0,297.0,i5-13450HX | DDR5 16GB | SSD 512GB | RTX 5050 8GB | 17.3 FHD IPS 165Hz | Windows 11
13825,Lenovo LOQ 15ARP9 (83JC00GKUS) Gaming Notebook,https://icomp.az/lenovo-loq-15arp9-83jc00gkus-gaming-notebook.html,1699.0,1929.0,230.0,"Ryzen 5 7235HS | 12GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD IPS 144Hz | Windows 11"
13824,Lenovo Legion 5 15IAX10 (83F0001QUS) Gaming Notebook,https://icomp.az/lenovo-legion-5-15iax10-83f0001qus-gaming-notebook.html,2899.0,3291.0,392.0,"Ultra 7 255HX | 16GB DDR5 | 1 TB SSD | RTX 5060 8GB | 15.1"" WQXGA OLED 165Hz | Windows 11 PRO"
