product_id,title,url,description,price_azn,old_price_azn,discount_azn,availability
1257,ASUS VivoBook S16 OLED S3607CA-SH078 90NB16I2-M00630 (2025),https://aztechshop.az/noutbuklar/asus-vivobook-s16-oled-s3607ca-sh078-90nb16i2-m00630.html,"16"" FHD+ OLED/Intel Ultra 5 225H/RAM 16GB DDR5/SSD 512GB G4/Intel Arc Graphics..",1699.0,,,Əldədir
1264,LENOVO ThinkBook 16 G8 IAL 21SK007VRT,https://aztechshop.az/noutbuklar/lenovo-thinkbook-16-g8-ial-21sk007vrt.html,"16"" WUXGA IPS/Intel Ultra 5 225U/RAM 16GB DDR5/SSD 512GB G4/Intel Graphics ..",1699.0,,,Əldədir
1295,LENOVO IdeaPad 5 2-in-1 14IRH9 83KX006VRK,https://aztechshop.az/noutbuklar/lenovo-ideapad-5-2-in-1-14irh9-83kx006vrk.html,"14"" Touch WUXGA OLED/i7-13620H/RAM 16GB DDR5X/SSD 512GB G4/Intel UHD Graphics..",1749.0,,,Əldədir
1203,ASUS TUF Gaming F16 FX607VJ-RL005 90NR0MZ6-M00050,https://aztechshop.az/noutbuklar/asus-tuf-gaming-f16-fx607vj-rl005-90nr0mz6-m00050.html,"16"" FHD+ IPS, 144Hz/Intel 5 210H/RAM 16GB/SSD 1TB G4/RTX 3050 6GB..",1799.0,,,Əldədir
1069,LENOVO IdeaPad Slim 5 15ARP10 83J30043RK,https://aztechshop.az/noutbuklar/lenovo-ideapad-slim-5-15arp10-83j30043rk.html,"15.1"" WQXGA(2560x1600) OLED, 165Hz/R7-7735HS/RAM 32GB DDR5X/SSD 1TB G4/AMD Radeon 680M..",1799.0,,,Əldədir
1289,LENOVO LOQ 15ARP9 83JC00LBRK,https://aztechshop.az/noutbuklar/lenovo-loq-15arp9-83jc00lbrk.html,"15.6"" FHD IPS, 144Hz/R5-7235HS/RAM 16GB DDR5/SSD 512GB G4/RTX 4050 6GB..",1799.0,,,Əldədir
1182,LENOVO ThinkPad E16 Gen 3 21ST002TFW,https://aztechshop.az/noutbuklar/lenovo-thinkpad-e16-gen-3-21st002tfw.html,"16"" WUXGA IPS/Ryzen 7 250/RAM 16GB DDR5/SSD 512GB G4/AMD Radeon 780M..",1799.0,,,Əldədir
1055,LENOVO IdeaPad Slim 5 16IRH10 83HS0072RK,https://aztechshop.az/noutbuklar/lenovo-ideapad-slim-5-16irh10-83hs0072rk.html,"16"" WUXGA(1920x1200) IPS/i7-13620H/RAM 32GB DDR5/SSD 1TB G4/Intel UHD Graphics..",1849.0,,,Əldədir
1353,LENOVO ThinkBook 14 G9 AHP 21V0000PFW,https://aztechshop.az/noutbuklar/lenovo-thinkbook-14-g9-ahp-21v0000pfw.html,"14"" WUXGA IPS/Ryzen 7 250/RAM 32GB DDR5/SSD 512GB G4/AMD Radeon 780M..",1879.0,,,Əldədir
1253,ASUS ExpertBook B5 B5605CCA-PL0073 90NX08F1-M002T0,https://aztechshop.az/noutbuklar/asus-expertbook-b5-b5605cca-pl0073-90nx08f1-m002t0.html,"16"" WQXGA(2560x1600) IPS, 144Hz, 139% sRGB/Intel Ultra 5 225H/RAM 16GB DDR5/SSD 512GB G4/Intel Arc Graphics..",1899.0,,,Əldədir
1200,ASUS VivoBook 18 M1807HA-S8055 90NB15P1-M002R0,https://aztechshop.az/noutbuklar/asus-vivobook-18-m1807ha-s8055-90nb15p1-m002r0-2025.html,"18"" WUXGA IPS, 144Hz/Ryzen 7 260/RAM 32GB DDR5/SSD 1TB G4/AMD Radeon Graphics..",1899.0,,,Əldədir
1227,LENOVO IdeaPad Slim 5 14IRH10R 83J0006PRK,https://aztechshop.az/noutbuklar/lenovo-ideapad-slim-5-14irh10r-83j0006prk.html,"14"" WUXGA OLED/Intel 7 240H/RAM 32GB DDR5/SSD 1TB G4/Intel Graphics..",1899.0,,,Əldədir
1354,LENOVO ThinkBook 16 G9 AHP 21UT000LFW,https://aztechshop.az/noutbuklar/lenovo-thinkbook-16-g9-ahp-21ut000lfw.html,"16"" WUXGA IPS/Ryzen 7 250/RAM 32GB DDR5/SSD 512GB G4/AMD Radeon 780M..",1899.0,,,Əldədir
1231,LENOVO ThinkPad E16 Gen 3 21SR0048FW,https://aztechshop.az/noutbuklar/lenovo-thinkpad-e16-gen-3-21sr0048fw-2025.html,"16"" WUXGA IPS/Intel Ultra 5 225U/RAM 16GB DDR5/SSD 512GB G4/Intel Graphics ..",1899.0,1999.0,100.0,Əldədir
1300,ASUS ExpertBook B3 B3605CCA-MB0080 90NX08N1-M00340,https://aztechshop.az/noutbuklar/asus-expertbook-b3-b3605cca-mb0080-90nx08n1-m00340.html,"16"" WUXGA IPS/Intel Ultra 7 255H/RAM 16GB DDR5/SSD 1TB G4/Intel Graphics..",1999.0,,,Əldədir
1305,ASUS ExpertBook P1 P1503CVA-S72534 90NX0881-M02WE0,https://aztechshop.az/noutbuklar/asus-expertbook-p1-p1503cva-s72534-90nx0881-m02we0.html,"15.6"" FHD IPS/Intel 7 240H/RAM 32GB DDR5/SSD 1TB G4/Intel Graphics..",1999.0,,,Əldədir
1258,ASUS VivoBook S16 OLED S3607CA-SH079 90NB16I2-M00640,https://aztechshop.az/noutbuklar/asus-vivobook-s16-oled-s3607ca-sh079-90nb16i2-m00640.html,"16"" FHD+ OLED/Intel Ultra 7 255H/RAM 16GB DDR5/SSD 1TB G4/Intel Arc Graphics..",1999.0,,,Əldədir
465,ASUS ZenBook S13 OLED UM5302TA-LV560WS 90NB0WA4-M00TW0,https://aztechshop.az/noutbuklar/asus-zenbook-s13-oled-um5302ta-lv560ws-90nb0wa4-m00tw0.html,13.3″ 2.8K (2880×1800) OLED/R7-6800U/RAM 16GB DDR5/SSD 512GB Gen4/Win 11 Home..,1999.0,,,Əldədir
996,LENOVO IdeaPad 5 2-in-1 16AHP9 83DS0055RK,https://aztechshop.az/noutbuklar/lenovo-ideapad-5-2-in-1-16ahp9-83ds0055rk.html,"16"" Touch 2K(2048x1280) OLED/R7-8845HS/RAM 16GB DDR5X-6400MHz/SSD 1TB G4/AMD Radeon 780M ..",1999.0,,,Əldədir
1172,LENOVO ThinkBook 16 G8 IAL 21SK007URT,https://aztechshop.az/noutbuklar/lenovo-thinkbook-16-g8-ial-21sk007urt-2025.html,"16"" WUXGA IPS/Intel Ultra 7 255H/RAM 16GB DDR5/SSD 512GB G4/Intel Graphics..",1999.0,,,Əldədir
1326,ASUS ExpertBook B5 B5405CCA-LY0135 90NX08I1-M004K0,https://aztechshop.az/noutbuklar/asus-expertbook-b5-b5405cca-ly0135-90nx08i1-m004k0.html,"14"" FHD+ IPS/Intel Ultra 7 255H/RAM 16GB DDR5/SSD 1TB G4/Intel Arc Graphics..",2099.0,,,Əldədir
1150,ASUS TUF Gaming F16 FX607VU-RL046 90NR0N06-M00310,https://aztechshop.az/noutbuklar/asus-tuf-gaming-f16-fx607vu-rl046-90nr0n06-m00310.html,"16""  FHD+ IPS, 144Hz/Intel 5 210H/RAM 16GB DDR5/SSD 512GB G4/RTX 4050 6GB..",2099.0,,,Əldədir
1298,ASUS V16 V3607VH-RP020 90NB16L1-M003C0,https://aztechshop.az/noutbuklar/asus-v16-v3607vh-rp020-90nb16l1-m003c0.html,"16"" FHD+ IPS, 144Hz/Intel 5 210H/RAM 16GB DDR5/SSD 512GB G4/RTX 5050 8GB..",2099.0,2299.0,200.0,Əldədir
