product_id,sku,title,brand,url,price_azn,old_price_azn,discount_azn,specs,category,category2,category3
105085,TM-DG-KOT-1114-NB-2870,Notbuk Lenovo IdeaPad Slim 3 15IRH10 (83K10032RK),,https://mgstore.az/notbuk-lenovo-ideapad-slim-3-15irh10-83k10032rk,1399.99,1699.99,300.0,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",İş və təhsil üçün notbuklar,Notbuklar,Kompüterlər
119935,TM-DG-KOT-1114-NB-3402,Notbuk Asus VivoBook S16 OLED S3607CA-SH079 (90NB16I2-M00640),,https://mgstore.az/notbuk-asus-vivobook-s16-oled-s3607ca-sh079-90nb16i2-m00640,1979.99,2999.99,1020.0,"Prosessor: Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119789,TM-DG-KOT-1114-NB-3432,Notbuk Lenovo ThinkPad X9-15 Gen 1 Aura Edition (21Q6001HRT),,https://mgstore.az/notbuk-lenovo-thinkpad-x9-15-gen-1-aura-edition-21q6001hrt,4349.99,5999.99,1650.0,"Prosessor: Intel Core Ultra 7 258V, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119730,TM-DG-KOT-1114-NB-3426,Notbuk Asus ROG Strix G16 G615LR-S5192 (90NR0LR1-M007S0),,https://mgstore.az/notbuk-asus-rog-strix-g16-g615lr-s5192-90nr0lr1-m007s0,5449.99,7999.99,2550.0,Prosessor: Intel Core Ultra 9 275HX 2.7 - 5.4 GHz,Notbuklar,Kompüterlər,0_INDEFINITE
119577,TM-DG-KOT-1114-NB-3406,Notbuk Asus ExpertBook B3 B3605CCA-MB0080 (90NX08N1-M00340),,https://mgstore.az/notbuk-asus-expertbook-b3-b3605cca-mb0080-90nx08n1-m00340,1979.99,2999.99,1020.0,"Prosessor: Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119507,TM-DG-KOT-1114-NB-3397,Notbuk Lenovo ThinkPad T14s Gen 6 (21QX001DRT),,https://mgstore.az/notbuk-lenovo-thinkpad-t14s-gen-6-21qx001drt,4299.99,6549.99,2250.0,"Prosessor: Intel Core Ultra 7 258V, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119052,TM-DG-KOT-1114-NB-3384,Notbuk Lenovo ThinkPad X1 Carbon Gen 13 Aura Edtion (21NX00A7FW),,https://mgstore.az/notbuk-lenovo-thinkpad-x1-carbon-gen-13-aura-edtion-21nx00a7fw,4899.99,6699.99,1800.0,"Prosessor: Intel Core Ultra 7 255U, 2.4 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119048,TM-DG-KOT-1114-NB-3380,Notbuk Lenovo ThinkPad E14 Gen7 (21SX004UFW),,https://mgstore.az/notbuk-lenovo-thinkpad-e14-gen7-21sx004ufw,1949.99,2599.99,650.0,"Prosessor: Intel Core Ultra 5 225U, 2.4 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118354,TM-DG-KOT-1114-NB-3339,Notbuk HP ProBook 4 G1I 14 (AD2M0ET),,https://mgstore.az/notbuk-hp-probook-4-g1i-14-ad2m0et,1799.99,2399.99,600.0,"Prosessor: Intel Core Ultra 5 225U, 2.4 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118329,TM-DG-KOT-1114-NB-3298,Notbuk Asus VivoBook 17 X1704VA-AU1093 (90NB13X2-M00UH0),,https://mgstore.az/notbuk-asus-vivobook-17-x1704va-au1093-90nb13x2-m00uh0,1649.99,2249.99,600.0,"Prosessor: Intel Core i7 150U, 1.2 - 5.4 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
