product_id,product_code,title,url,price_azn,discounted_price_azn,discount_azn,monthly_payment_azn,installment_months,rating,review_count,quantity,is_online
87001,214787,Notbuk HP EliteBook 860 G10  I7-1355U REALTEK USBC 860 G10/16.0 WUXGA/16GB (1X16GB)DDR5/512GB/W11P64 (8A4L5EA),https://www.bakuelectronics.az/mehsul/notebook-hp-uma-i7-1355u-realtek-usbc-860-g10160-wuxga16gb-1x16gbddr5512gbw11p64-214787,2899.99,2599.99,300.0,433.33,6,0,0,3,False
86889,214682,Notbuk MSI Cyborg CORE I7-13620H/16GB/512GB/4GB RTX 3050/15.6FHD/DOS/BLACK (9S7-15K111-821),https://www.bakuelectronics.az/mehsul/notebook-msi-cyborg-core-i7-13620h16gb512gb4gb-rtx-3050156fhddosblack-214682,2399.99,1999.99,400.0,333.33,6,0,0,4,False
86757,214550,Notbuk ASUS ExpertBook B2 15.6 FHD IPS/I7-1360P/RAM 16GB/SSD 512GB G4/INTEL IRIS XE (90NX06F1-M00620),https://www.bakuelectronics.az/mehsul/notbuk-asus-expertbook-b2-156-fhd-ipsi7-1360pram-16gbssd-512gb-g4intel-iris-xe-90nx06f1-m00620-214550,2329.99,1799.99,530.0,129.44,18,0,0,1,True
86754,214547,Notbuk Lenovo ThinkPad 14 TOUCH WUXGA(1920X1200) IPS/INTEL ULTRA 7 155U/32GB DDR5X/SSD 1TB G4/INTEL GRAPH (21KE006ART),https://www.bakuelectronics.az/mehsul/notbuk-lenovo-thinkpad-14-touch-wuxga1920x1200-ipsintel-ultra-7-155u32gb-ddr5xssd-1tb-g4intel-graph-21ke006art-214547,5399.99,4599.99,800.0,766.66,6,0,0,1,True
86752,214545,Notbuk Lenovo ThinkPad 14 WUXGA(1920X1200) IPS/INTEL ULTRA 7 155U/RAM 16GB DDR5/SSD 1TB G4/INTEL GRAPHICS. (21ML009DRT),https://www.bakuelectronics.az/mehsul/notbuk-lenovo-thinkpad-14-wuxga1920x1200-ipsintel-ultra-7-155uram-16gb-ddr5ssd-1tb-g4intel-graphics-21ml009drt-214545,3489.99,2909.99,580.0,193.89,18,0,0,1,True
86425,214420,Apple MacBook Pro 16 M4 MAX chip with 14‑core CPU/32‑core GPU/36GB/1TB SSD/Space Black (MX303RU/A),https://www.bakuelectronics.az/mehsul/16-inch-macbook-pro-apple-m4-max-chip-with-14core-cpu32core-gpu36gb1tb-ssdspace-black-214420,9529.99,8569.99,960.0,1428.33,6,0,0,1,False
86415,214410,Apple MacBook Pro 14 M4 PRO CHIP WITH 12‑CORE CPU/16‑CORE GPU/24GB/512GB SSD/SLV (MX2E3RU/A),https://www.bakuelectronics.az/mehsul/apple-macbook-pro-14-m4-pro-chip-with-12core-cpu16core-gpu24gb512gb-ssdslv-mx2e3rua-214410,5449.99,4899.99,550.0,816.66,6,0,0,2,False
86414,214409,Apple MacBook Pro 14 M4 CHIP WITH 10‑CORE CPU/10‑CORE GPU/16GB/1TB SSD/SILVER (MW2X3RU/A),https://www.bakuelectronics.az/mehsul/apple-macbook-pro-14-m4-chip-with-10core-cpu10core-gpu16gb1tb-ssdsilver-mw2x3rua-214409,4949.99,4449.99,500.0,741.66,6,0,0,2,False
86412,214407,Apple MacBook Pro 14 M4 CHIP WITH 10‑CORE CPU/10‑CORE GPU/16GB/1TB SSD/SPACE BLACK (MW2V3RU/A),https://www.bakuelectronics.az/mehsul/apple-macbook-pro-14-m4-chip-with-10core-cpu10core-gpu16gb1tb-ssdspace-black-mw2v3rua-214407,4949.99,4449.99,500.0,275,18,0,0,5,False
86409,214404,Apple MacBook Pro 14 M4 CHIP WITH 10‑CORE CPU/10‑CORE GPU/24GB/1TB SSD/SPACE BLACK (MCX04RU/A),https://www.bakuelectronics.az/mehsul/apple-macbook-pro-14-m4-chip-with-10core-cpu10core-gpu24gb1tb-ssdspace-black-mcx04rua-214404,5449.99,4899.99,550.0,816.66,6,0,0,5,False
