product_code,title,url,price_azn,old_price_azn,discount_azn,availability,labels,monthly_payment_azn
91516,HP Pav Plus Laptop 14-eh1005ci (7P4D3EA),https://irshad.az/az/mehsullar/hp-pav-plus-laptop-14-eh1005ci-7p4d3ea,2139.99,2299.99,160.0,,Faizsiz təklif Yalnız online sifariş -160 AZN,118.89
91153,HP ENVY Laptop 16-h0000ci (6Y9S5EA),https://irshad.az/az/mehsullar/hp-envy-laptop-16-h0000ci-6y9s5ea,3359.99,3849.99,490.0,,Faizsiz təklif Yalnız online sifariş -490 AZN,186.67
91149,HP Pav Plus Laptop 14-eh1008ci (7P4Z5EA),https://irshad.az/az/mehsullar/hp-pav-plus-laptop-14-eh1008ci-7p4z5ea,2269.99,2439.99,170.0,,Faizsiz təklif Yalnız online sifariş -170 AZN,126.11
91080,Asus ExpertBook B2 B2502CVA-KJ0173 (90NX06F1-M00620),https://irshad.az/az/mehsullar/asus-expertbook-b2-b2502cva-kj0173-90nx06f1-m00620,1939.99,2329.99,390.0,,Faizsiz təklif Yalnız online sifariş -390 AZN,107.78
89737,HP Victus 15-fa1057nia  (86J62EA),https://irshad.az/az/mehsullar/hp-victus-15-fa1057nia-86j62ea,2749.99,2899.99,150.0,,Stokda var - Məhdud sayda Faizsiz təklif -150 AZN,152.78
89736,HP Victus 15-fa1056nia (86J61EA),https://irshad.az/az/mehsullar/hp-victus-15-fa1056nia-86j61ea,2389.99,2899.99,510.0,,Stokda var - Məhdud sayda Faizsiz təklif -510 AZN,132.78
89714,HP OMEN 16t-wd000 (76W21AV),https://irshad.az/az/mehsullar/hp-omen-16t-wd000-76w21av,2839.99,3499.99,660.0,,Stokda var - Məhdud sayda Faizsiz təklif -660 AZN,157.78
89706,Asus VivoBook E1504FA-L1013W (90NB0ZR1-M00LA0),https://irshad.az/az/mehsullar/asus-vivobook-e1504fa-l1013w-90nb0zr1-m00la0,1339.99,1349.99,10.0,,Faizsiz təklif Yalnız online sifariş -10 AZN,74.44
89692,Asus VivoBook 16 M1605YA-MB002 (90NB10R1-M00AM0),https://irshad.az/az/mehsullar/asus-vivobook-16-m1605ya-mb002-90nb10r1-m00am0,1139.99,1229.99,90.0,,Faizsiz təklif Yalnız online sifariş -90 AZN,63.33
88707,Acer Aspire 5 A515-58P-53Y4 (NXKHJER005),https://irshad.az/az/mehsullar/acer-aspire-5-a515-58p-nxkhjer005,1169.99,1399.99,230.0,,Stokda var - Məhdud sayda Faizsiz təklif -230 AZN,65.0
83228,HP OMEN Gaming Laptop 16-n0003ci (6G6S0EA),https://irshad.az/az/mehsullar/hp-omen-gaming-laptop-16-n0003ci-6g6s0ea,4339.99,4669.99,330.0,,Faizsiz təklif Yalnız online sifariş -330 AZN,241.11
83169,Asus ROG Strix GA402RK-L8196W (90NR09U4-M00D70),https://irshad.az/az/mehsullar/asus-rog-strix-ga402rk-l8196w-90nr09u4-m00d70,4099.99,4429.99,330.0,,Faizsiz təklif Yalnız online sifariş -330 AZN,227.78
82800,HP ENVY Laptop 16-h0002ci (6Y9S7EA),https://irshad.az/az/mehsullar/hp-envy-laptop-16-h0002ci-6y9s7ea,3659.99,3939.99,280.0,,Faizsiz təklif Yalnız online sifariş -280 AZN,203.33
70215,Apple MacBook Air M1 (MGN63RU),https://irshad.az/az/mehsullar/apple-macbook-air-m1-mgn63ru,1479.99,1799.99,320.0,Stokda var,Stokda var Faizsiz təklif -320 AZN,82.22
