product_id,title,url,price_azn,old_price_azn,discount_percent,discount_azn
1237430,Notbuk ASUS TUF Gaming A18 FA808UM-S8030 90NR0NN1-M001M0 (2025),https://birmarket.az/product/1237430-notbuk-asus-tuf-gaming-a18-fa808um-s8030-90nr0nn1-m001m0-2025,2698.99,3508.99,-23 %,810.0
1108192,Notbuk Lenovo IdeaPad Slim 3 15IRH10 (83K10032RK),https://birmarket.az/product/1108192-notbuk-lenovo-ideapad-slim-3-15irh10-83k10032rk,1279.0,1649.0,-22 %,370.0
1342866,Noutbuk Lenovo Yoga 7 2-in-1 14ILL10 (83JQ003FRK),https://birmarket.az/product/1342866-noutbuk-lenovo-yoga-7-2-in-1-14ill10-16gb-1tb-intel-core-ultra-7-256v-14-oled-touch-freedos-83jq003frk,2349.0,3199.0,-27 %,850.0
1389855,Notbuk Lenovo LOQ 15AHP10 (83JG007WRK),https://birmarket.az/product/1389855-notbuk-lenovo-loq-15ahp10-83jg007wrk,2399.0,3199.0,-25 %,800.0
1125550,"Notbuk Apple MacBook Air 15.3"" M4 2025 (10C CPU/10C GPU), 16 GB/256 GB Sky Blue (MC7A4)",https://birmarket.az/product/1125550-notbuk-apple-macbook-air-15-3-m4-2025-10c-cpu-10c-gpu-16-gb-256-gb-sky-blue-mc7a4,2599.0,2799.0,-7 %,200.0
1392855,Oyun noutbuku Lenovo Legion Pro 5 16IRX9 (83DF009KRK),https://birmarket.az/product/1392855-oyun-noutbuku-lenovo-legion-pro-5-16irx9-i5-14500hx-16gb-1tb-ssd-rtx-4060-16-wqxga-240hz-win11-83df009krk-83df009krk,2299.99,2899.99,-21 %,600.0
1755046,Oyun notbuk Acer Nitro V 15 ANV15-52 (NH.U1PAA.004),https://birmarket.az/product/1755046-oyun-notbuk-acer-nitro-v-15-anv15-52-nh-u1paa-004,1799.0,2049.0,-12 %,250.0
1125558,"Notbuk Apple MacBook Air 15.3"" M4 2025 (10C CPU/10C GPU), 16 GB/512 GB Sky Blue (MC7C4)",https://birmarket.az/product/1125558-notbuk-apple-macbook-air-15-3-m4-2025-10c-cpu-10c-gpu-16-gb-512-gb-sky-blue-mc7c4,2700.0,3399.0,-21 %,699.0
1296893,Oyun noutbuku Asus Tuf F16 FX608JMR-F16.I75060,https://birmarket.az/product/1296893-asus-tuf-f16-fx608jmr-f16-i75060,2980.0,3499.0,-15 %,519.0
1192410,Notbuk HP EliteBook 660 16 inch G11 Notebook PC (A37W0ET),https://birmarket.az/product/1192410-notbuk-hp-elitebook-660-16-inch-g11-notebook-pc-a37w0et,2829.9,3629.9,-22 %,800.0
1113594,"Notbuk Apple MacBook Air 13.6"" M4 2025 (10C CPU/8C GPU), 16 GB/256 GB Midnight MW123 (Rəsmi zəmanət)",https://birmarket.az/product/1113594-notbuk-apple-macbook-air-13-6-m4-2025-10c-cpu-8c-gpu-16-gb-256-gb-midnight-mw123,2249.0,2999.0,-25 %,750.0
1617477,"Notbuk Acer Nitro NL16-71G (NH.DAEER.002) Intel Core i7-13620H/16 GB DDR5/512 GB SSD/NVIDIA GeForce RTX 4050 6 GB/16""/1920×1200/FreeDos - NH.DAEER.002",https://birmarket.az/product/1617477-notbuk-acer-nitro-nl16-71g-nh-daeer-002-intel-core-i7-13620h-16-gb-ddr5-512-gb-ssd-nvidia-geforce-rtx-4050-6-gb-16-1920x1200-freedos-nh-daeer-002,1899.0,2599.0,-27 %,700.0
1721925,Oyun notbuk Lenovo LOQ 15IRX9 (83DV01CGRK),https://birmarket.az/product/1721925-oyun-notbuk-lenovo-loq-15irx9-83dv01cgrk,1745.0,,,
1585927,"Notbuk Apple MacBook Air 13 (M2, 2022) (MC7U4HN/A)",https://birmarket.az/product/1585927-notbuk-apple-macbook-air-13-m2-2022-mc7u4hn-a,1618.91,1999.0,-19 %,380.09
1617475,Noutbuk Acer Gaming Nitro NL16-71G (NH.DAEER.001),https://birmarket.az/product/1617475-notbuk-acer-gaming-nitro-nl16-71g-nh-daeer-001-intel-core-i5-13420h-16gb-512gb-ssd-rtx-4050-16-1920x1200-freedos-nh-daeer-001,1669.0,2099.0,-20 %,430.0
1517820,Notbuk Lenovo IP Slim 3 15AMN8 (82XQ00JPRK),https://birmarket.az/product/1517820-notbuk-lenovo-ip-slim-3-15amn8-82xq00jprk,949.0,1499.0,-37 %,550.0
1125536,"Notbuk Apple MacBook Air 13.6"" M4 2025 (10C CPU/10C GPU), 16 GB/512 GB Sky Blue (MC6U4)",https://birmarket.az/product/1125536-notbuk-apple-macbook-air-13-6-m4-2025-10c-cpu-10c-gpu-16-gb-512-gb-sky-blue-mc6u4,2584.94,3299.0,-22 %,714.06
1464866,Notbuk ASUS Vivobook S16 M3407HA-SF065 90NB16I2-M007M0,https://birmarket.az/product/1464866-notbuk-asus-vivobook-s16-m3407ha-sf065-90nb16i2-m007m0,1815.99,2100.0,-14 %,284.01
1348734,Oyun noutbuk Lenovo LOQ 15IAX9 83GS00R9RK,https://birmarket.az/product/1348734-oyun-noutbuku-lenovo-loq-15irx9-15-6-24gb-512gb-83gs00r9rk-83gs00r9rk,1440.0,1699.0,-15 %,259.0
1197477,Notbuk Honor Magic Book X16 2025 Space Gray (BRG-561),https://birmarket.az/product/1197477-notbuk-honor-magic-book-x16-2025-space-gray-brg-561,1549.0,1749.0,-11 %,200.0
1617474,Noutbuk Acer Gaming Nitro NL16-71G (NH.DABER.001),https://birmarket.az/product/1617474-notbuk-acer-gaming-nitro-nl16-71g-nh-daber-001-intel-core-i5-13420h-8gb-512gb-ssd-rtx-3050-16-1920x1200-freedos-nh-daber-001,1499.0,1899.0,-21 %,400.0
1363883,Notbuk Lenovo ThinkBook 16 G7 ARP (21MW002CRU),https://birmarket.az/product/1363883-notbuk-lenovo-thinkbook-16-g7-arp-21mw002cru,1439.0,1749.0,-18 %,310.0
1034101,Notbuk HP Pavilion 16-af0020ci (B09JPEA),https://birmarket.az/product/1034101-notbuk-hp-pavilion-laptop-16-af0020ci-b09jpea,1389.0,1597.35,-13 %,208.35
1389777,Notbuk Lenovo IdeaPad Slim 5 14IRH10R (83J0006MRK),https://birmarket.az/product/1389777-notbuk-lenovo-ideapad-slim-5-14irh10r-83j0006mrk,1379.0,1799.0,-23 %,420.0
1336515,"Notbuk Apple MacBook Air 13.3"" M1 2020 8GB/256GB Space Gray",https://birmarket.az/product/1336515-notbuk-apple-macbook-air-13-3-m1-2020-8gb-256gb-space-gray-mgn63ru-a,1249.98,1799.0,-31 %,549.02
1188521,Notbuk Asus TUF F16 FX607VU-RL148 (90NR0N06-M009X0),https://birmarket.az/product/1188521-notbuk-asus-tuf-f16-fx607vu-rl148-90nr0n06-m009x0,1799.0,2299.0,-22 %,500.0
1486592,Notbuk LENOVO LOQ 15ARP9 83JC00LBRK,https://birmarket.az/product/1486592-notbuk-lenovo-loq-15arp9-83jc00lbrk,1598.0,1999.0,-20 %,401.0
1125542,"Notbuk Apple MacBook Air 13.6"" M4 2025 (10C CPU/10C GPU), 16 GB/512 GB Midnight (MW133)",https://birmarket.az/product/1125542-notbuk-apple-macbook-air-13-6-m4-2025-10c-cpu-10c-gpu-16-gb-512-gb-midnight-mw133,2495.0,2799.0,-11 %,304.0
1285257,Notbuk ASUS ExpertBook B1 B1503CVA-S72897 90NX0801-M036E0,https://birmarket.az/product/1285257-notbuk-asus-expertbook-b1-b1503cva-s72897-90nx0801-m036e0,1199.0,1474.0,-19 %,275.0
1071248,Notbuk HP 15-fd0012nr (A18JKUA),https://birmarket.az/product/1071248-notbuk-hp-15-fd0012nr-a18jkua,1149.0,1200.0,-4 %,51.0
1470477,Notubk ASUS Vivobook X1704VA-AU584 (90NB13X2-M00910),https://birmarket.az/product/1470477-notubk-asus-vivobook-x1704va-au584-90nb13x2-m00910,1099.0,1263.85,-13 %,164.85
1389889,Notbuk HP 15-FD0150W (B8LA9UA),https://birmarket.az/product/1389889-notbuk-hp-15-fd0150w-b8la9ua,1199.0,1349.0,-11 %,150.0
988769,Notbuk HP 250R G9 (9B9X8EA),https://birmarket.az/product/988769-notbuk-hp-250r-g9-9b9x8ea,994.0,1500.0,-34 %,506.0
1001549,Notbuk Acer Aspire 3 A315-44P (NX.KSJER.007),https://birmarket.az/product/1001549-notbuk-acer-aspire-3-a315-44p-nx-ksjer-007,1019.0,1549.0,-34 %,530.0
1489195,Notbuk Asus Zenbook UX3405CA-QL549 (90NB14W4-M00T90),https://birmarket.az/product/1489195-notbuk-asus-zenbook-ux3405ca-ql549-90nb14w4-m00t90,1809.99,1900.0,-5 %,90.01
1337282,Notbuk Acer Extensa 15 EX215-55 NX.EH9ER.002,https://birmarket.az/product/1337282-notbuk-acer-extensa-15-ex215-55-nx-eh9er-002-nx-eh9er-002,779.0,1199.0,-35 %,420.0
1363332,Notbuk Lenovo IdeaPad 1 15AMN7 (82VG00WWRK),https://birmarket.az/product/1363332-noutbuk-lenovo-ideapad-1-15amn7-82vg00wwrk,699.0,949.0,-26 %,250.0
1543552,"Notbuk Lenovo V15 G4 IRU (83A100SUAK) Core i5/8GB/512GB/15.6"" FHD - 83A100SUAK",https://birmarket.az/product/1543552-notbuk-lenovo-v15-g4-iru-83a100suak-core-i5-8gb-512gb-15-6-fhd-83a100suak,1020.0,1300.0,-22 %,280.0
1285244,Notbuk ASUS Vivobook 15 X1504VA-BQ591 90NB13Y2-M00X80,https://birmarket.az/product/1285244-notbuk-asus-vivobook-15-x1504va-bq591-90nb13y2-m00x80,1087.99,,,
1301624,Notbuk Acer Aspire 3 A325-45 (ZN.N01SI.03K),https://birmarket.az/product/1301624-notbuk-acer-aspire-3-a325-45-zn-n01si-03k,499.0,749.0,-33 %,250.0
688543,Notbuk Asus ExpertBook B2 B2502CVA-KJ0173 90NX06F1-M00620,https://birmarket.az/product/688543-notbuk-asus-expertbook-b2-b2502cva-kj0173-90nx06f1-m00620,1499.0,2124.0,-29 %,625.0
1212884,Notbuk ASUS TUF Gaming F16 FX608JM-RV002 90NR0MI1-M002V0 (2025),https://birmarket.az/product/1212884-notbuk-asus-tuf-gaming-f16-fx608jm-rv002-90nr0mi1-m002v0-2025,2293.99,,,
1071852,Notbuk Acer Extensa EX215-55 (NX.EGYER.01B),https://birmarket.az/product/1071852-notbuk-acer-extensa-ex215-55-nx-egyer-01b,725.0,800.0,-9 %,75.0
204083,Notbuk HP Laptop 15s-fq2063ur (3Y1S7EA),https://birmarket.az/product/204083-noutbuk-hp-laptop-15s-fq2063ur-3y1s7ea,679.99,849.0,-20 %,169.01
1859408,Noutbuk Lenovo IdeaPad Slim 3 15AMN8 82XQ00RSUS,https://birmarket.az/product/1859408-noutbuk-lenovo-ideapad-slim-3-15amn8-82xq00rsus,1050.0,1500.0,-30 %,450.0
755035,Notbuk Asus TUF Gaming F17 FX707ZC4-HX036 (90NR0GX1-M00540),https://birmarket.az/product/755035-notbuk-asus-tuf-gaming-f17-fx707zc4-hx036-90nr0gx1-m00540,1580.0,1999.0,-21 %,419.0
1141554,Notbuk Lenovo IdeaPad Slim 5 16IRH10 (83HS0072RK),https://birmarket.az/product/1141554-notbuk-lenovo-ideapad-slim-5-16irh10-83hs0072rk,1729.0,2199.0,-21 %,470.0
