product_id,title,url,price_azn,old_price_azn,discount_azn,labels,specs
37082,Noutbuk HP Laptop 15-FD0130CI (B01FQEA),https://techbar.az/hp-laptop-15-fd0130ci,1623.0,1948.0,325.0,Satış,"15.6"" FHD ekran | Intel Core i5-1334U (4.6GHz, 12MB) | 16GB DDR4 RAM | 512GB SSD |  Intel Iris Xe Graphics | Natural Silver | FreeDOS"
37049,Noutbuk HP 15-FD1009CI (A16KBEA),https://techbar.az/hp-laptop-15-fd1009ci,1478.0,1774.0,296.0,Satış,"15.6"" HD ekran | Intel Core i5-1334U  | 16 GB DDR4 RAM | 1 TB SSD | Intel Graphics | Natural Silver | FreeDOS"
37043,Noutbuk HP 15-FD1008Cİ (B5JR1EA),https://techbar.az/hp-laplop-15-fd1008ci,1344.0,1613.0,269.0,Satış,"15.6"" FHD (1920x1080) IPS ekran | Intel Core i5-120U) | 8GB DDR4 RAM | 512GB SSD  | Intel Iris Xe Graphics | Sliver| FreeDOS"
37036,Noutbuk HP 15-FD1030CI (B5JR3EA),https://techbar.az/hp-laptop-15-fd1030ci,1436.0,1724.0,288.0,Satış,"15.6"" FHD IPS ekran |Intel Core i5-1334U | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 Home | Natural Silver"
37024,Noutbuk HP ProBook 440 G10 (AK9M2AT),https://techbar.az/hp-pb440g10-i5-1334u-14-8gb512-pc,1568.0,1882.0,314.0,Satış,"14"" FHD | IPS | 60Hz | Intel Core i5-1334U | Intel Iris Xe | 8 GB DDR4 | 512GB SSD | Wi-Fi 6E | BT 5.3 | FreeDOS..."
36955,Noutbuk HP 15-fd0103ci (9S7Q2EA),https://techbar.az/notebook-%d0%bd%d1%80-laptop-15-fd0103ci,1344.0,1613.0,269.0,Satış,"15.6"" FHD | IPS | i5-1334U | 16GB DDR4 | 512GB SSD | Wi-Fi 6E | BT 5.3 | 1.59 kg | USB-C | HDMI | 720p Cam"
36638,Noutbuk HP 250R G9 (9B9X8EA),https://techbar.az/hp-250rg9-i5-1335u-15-8gb512-pc,1171.0,1406.0,235.0,Satış,"15.6"" Full HD ekran | Intel Core i5-1335U  | 8 GB DDR4 RAM | 512GB SSD | Intel Iris Xe qrafikası | FreeDOS​"
36318,Noutbuk HP 240R G9 (9C0A6EA),https://techbar.az/hp-240r-g9-i3-1315u-14-8gb256,987.0,1185.0,198.0,Satış,"14"" FHD UWVA 300 nits | Intel Core i3-1315U | 8GB DDR4 | 256GB SSD | Intel UHD Graphics | FreeDOS | 1.47 kg | Dark Ash Silver"
36026,Notbuk Asus VivoBook S 15 OLED S5507QA-MA006W (90NB14Q2-M005E0),https://techbar.az/asus-vivobook-s-s5507qa-ma006w,3121.0,3746.0,625.0,Satış,"15.6"" 3K OLED 120Hz | Qualcomm Snapdragon X Elite X1E-78-100 | 16GB LPDDR5X | 1TB PCIe Gen4 SSD | Qualcomm Adreno GPU | Windows 11 Home | RGB klaviatura..."
24054,Noutbuk  HP 15-FD0111CI (A02N2EA),https://techbar.az/hp-laptop-15-fd0111ci-a02n2ea,1406.0,1688.0,282.0,Satış,"15.6″ FHD (1920 × 1080) IPS, 250 nit | Intel Core i5-1335U | 8 GB DDR4 RAM | 512 GB PCIe NVMe SSD | Intel Iris Xe qrafikası |..."
